code,name,cat,fee,aum,launch_date,cover,sgrowth,repair,score
100077.OF,基金77,主动权益,0.0019442903738687157,739867587.3918042,2022-09-23,1.0,0.14890200751008814,1.0,0.5442817441782527
100190.OF,基金190,主动权益,0.0034528007634697473,323544022.41206557,2018-06-11,1.0,0.13865285933567517,1.0,0.5409052976480087
100049.OF,基金49,行业ETF,0.012561194736410108,652982902.0928754,2020-02-29,1.0,0.14027549404522383,1.0,0.5395704092662852
100144.OF,基金144,主动权益,0.0008381365924757161,227439340.25758263,2017-02-14,1.0,0.13130853514771018,1.0,0.539224933225818
100087.OF,基金87,债券,0.01241623947421444,1014639014.0671759,2022-08-26,1.0,0.1440892052460545,0.9842217140817597,0.5391656850871495
100052.OF,基金52,主动权益,0.009081210105299317,362894658.2556529,2019-08-06,1.0,0.12842888872485758,1.0,0.5367124245963975
100124.OF,基金124,被动指数,0.009244410903790655,3318477215.811436,2022-05-23,1.0,0.14973135206652183,0.9128181488012093,0.5343523383193194
100112.OF,基金112,行业ETF,0.009800748068011123,789193522.2807678,2021-04-15,1.0,0.14263668404072832,0.9264452048395475,0.533475376082571
100286.OF,基金286,债券,0.013504309022612898,603903632.015612,2020-12-13,1.0,0.11386516726420375,1.0,0.5314586883747386
100055.OF,基金55,被动指数,0.01416814140902412,573883128.9542454,2019-11-03,1.0,0.11222460029279872,1.0,0.5308337518060348
100132.OF,基金132,行业ETF,0.013322771193563945,835373787.4565696,2022-01-20,1.0,0.12798666120907143,0.9384932860573247,0.5295807727297411
100161.OF,基金161,被动指数,0.004455800452162788,505907439.4777302,2019-03-05,1.0,0.12800595199459008,0.9188701618808083,0.5293976416960253
100148.OF,基金148,主动权益,0.01199420218042912,1974751384.5312603,2022-06-30,1.0,0.1265870051445322,0.9348347794574866,0.5290607390530225
100145.OF,基金145,行业ETF,0.0014323980391892377,2622167755.494787,2022-03-25,1.0,0.09616671890275456,1.0,0.5285635360629886
100296.OF,基金296,行业ETF,0.008740790303350475,1257444384.8456402,2018-08-07,1.0,0.10345050988269126,0.9820288364058428,0.5274898785447216
100131.OF,基金131,主动权益,0.007268821916804192,4037266997.649332,2020-01-23,1.0,0.12307142782107193,0.9146410540529238,0.5269317693682531
100142.OF,基金142,主动权益,0.00413844741264028,1019004531.5648907,2020-10-19,1.0,0.10232389639908442,0.959349359176037,0.525804415354801
100097.OF,基金97,债券,0.012245905917151929,2193732103.6257033,2022-07-13,1.0,0.11741003926562334,0.9217752746425969,0.5249513580605163
100266.OF,基金266,行业ETF,0.014415223715621664,1165861132.9397278,2023-04-15,1.0,0.12405804929167179,0.9055226541015162,0.5248866354545288
100141.OF,基金141,行业ETF,0.013876274748379191,941871451.2384928,2018-06-01,1.0,0.09082277103573279,1.0,0.524471576361044
100043.OF,基金43,行业ETF,0.005561491051843019,4459909208.568798,2020-07-11,1.0,0.09029051485647556,0.9823616789853223,0.5242110241451063
100117.OF,基金117,主动权益,2.651986293792319e-05,145412094.60247245,2021-06-20,1.0,0.10197661601145942,0.9248662180349259,0.5230743026343428
100050.OF,基金50,主动权益,0.0003255576668482474,2519408056.327495,2021-02-09,1.0,0.12884063078394536,0.8380886118369382,0.5223959388855078
100230.OF,基金230,被动指数,0.007882463520875549,3785669924.3297563,2022-09-24,1.0,0.07856745655592816,1.0,0.5219937442626034
100175.OF,基金175,主动权益,0.010710655658835742,884198761.8350403,2018-03-19,1.0,0.14944503244079238,0.7864662549865553,0.5213380040991261
100129.OF,基金129,债券,0.00753796681287021,2890141637.748954,2023-07-25,1.0,0.13081557076796385,0.8323639731393941,0.5209734751817545
100264.OF,基金264,主动权益,0.010760780972585184,758472761.7071943,2019-09-26,1.0,0.07590560315815333,1.0,0.5206195247529289
100201.OF,基金201,被动指数,0.006066541030739652,1716563301.29499,2021-03-29,1.0,0.12076575608865357,0.8522693592707319,0.5202433545475214
100046.OF,基金46,主动权益,0.0020630167693325217,1494158406.8148184,2017-07-18,1.0,0.07617013682249545,0.9747330243910631,0.5199117401319885
100207.OF,基金207,被动指数,0.009178863695321554,244841343.2999109,2022-03-26,1.0,0.1168601465521961,0.8595609756858263,0.5191783687951772
100282.OF,基金282,被动指数,0.0055597746397606776,1022028210.4855683,2017-07-25,1.0,0.12297590600358348,0.8304239974589972,0.5188232166190226
100249.OF,基金249,债券,0.014490227899182216,2124527345.270607,2021-04-06,1.0,0.10841482811540547,0.8899657525949792,0.5186229781142832
100192.OF,基金192,行业ETF,0.00583790506949553,1721241520.5698533,2020-03-15,1.0,0.07548152118242148,0.9711118580876409,0.5185880611495914
100032.OF,基金32,行业ETF,0.0076135708209390685,361749139.5124033,2017-04-30,1.0,0.11311990907063722,0.8556559337586128,0.5179788519328646
100159.OF,基金159,主动权益,0.011697124701285706,737189781.6579012,2020-03-18,1.0,0.09129896691356056,0.928286868438604,0.5178789519776714
100256.OF,基金256,行业ETF,0.013325835960047473,3902201259.613885,2017-01-22,1.0,0.11037077151759471,0.8738542498222969,0.5178314892454986
100293.OF,基金293,被动指数,0.009745597165958391,2365342161.8300347,2019-01-06,1.0,0.08166641574159138,0.9434351806350467,0.5168943233527904
100225.OF,基金225,主动权益,0.003593549099263064,441115506.2019644,2022-07-09,1.0,0.05857802484599675,1.0,0.5168546976339464
100198.OF,基金198,主动权益,0.0044736251352713785,867210166.020622,2023-09-17,1.0,0.07536204132096715,0.9467469285386289,0.5163885802230987
100092.OF,基金92,主动权益,0.00014829863283762735,1775463584.7220206,2018-05-02,1.0,0.11488437853549767,0.8193566366536954,0.5163713174994513
100075.OF,基金75,行业ETF,0.0030799815982548197,660161397.7561187,2023-11-21,1.0,0.10072321522477469,0.8610479487972544,0.5157057631275068
100037.OF,基金37,被动指数,0.003981560129635872,3119822669.307162,2017-01-29,1.0,0.058752226301517094,0.9792002877571081,0.5147493846402388
100027.OF,基金27,行业ETF,0.008837697690871676,1056977841.9278461,2019-02-12,1.0,0.059738174211080894,0.9842972249324089,0.5145836352183908
100104.OF,基金104,主动权益,0.0021000119294687265,253910094.04911923,2019-04-17,1.0,0.10507318920438098,0.83357935581453,0.5144598899568736
100283.OF,基金283,主动权益,0.006663498152228702,1221595517.4045143,2021-03-24,1.0,0.051336566455299076,1.0,0.514068270306144
100268.OF,基金268,主动权益,0.010988975678624224,1187219177.3861058,2020-01-05,1.0,0.08073785207764551,0.9134473379204812,0.5133682942796169
100290.OF,基金290,被动指数,0.011645932978530038,3705125233.850845,2020-10-06,1.0,0.13655508720131543,0.7409631384086246,0.5127336534055511
